trial_type,vertex,chromo,spatial_act
Stim C3,0,HbO,5.704023936429666e-18
Stim C3,0,HbR,-2.2816095745718667e-18
Stim C3,1,HbO,5.4056440548877416e-17
Stim C3,1,HbR,-2.1622576219550966e-17
Stim C3,2,HbO,5.416602439525969e-17
Stim C3,2,HbR,-2.1666409758103876e-17
Stim C3,3,HbO,5.079183080858662e-19
Stim C3,3,HbR,-2.031673232343465e-19
Stim C3,4,HbO,1.7574532453210724e-18
Stim C3,4,HbR,-7.02981298128429e-19
Stim C3,5,HbO,3.001997444017315e-19
Stim C3,5,HbR,-1.2007989776069258e-19
Stim C3,6,HbO,2.546416621878072e-16
Stim C3,6,HbR,-1.0185666487512288e-16
Stim C3,7,HbO,7.30699527970397e-18
Stim C3,7,HbR,-2.922798111881588e-18
Stim C3,8,HbO,3.524055810158388e-18
Stim C3,8,HbR,-1.409622324063355e-18
Stim C3,9,HbO,1.3887272313994823e-16
Stim C3,9,HbR,-5.554908925597929e-17
Stim C3,10,HbO,9.935167697780982e-19
Stim C3,10,HbR,-3.974067079112393e-19
Stim C3,11,HbO,5.267220423129944e-20
Stim C3,11,HbR,-2.1068881692519776e-20
Stim C3,12,HbO,4.18307177491927e-16
Stim C3,12,HbR,-1.673228709967708e-16
Stim C3,13,HbO,6.212100842364975e-16
Stim C3,13,HbR,-2.4848403369459905e-16
Stim C3,14,HbO,9.997589040717522e-19
Stim C3,14,HbR,-3.999035616287009e-19
Stim C3,15,HbO,5.611256498209294e-17
Stim C3,15,HbR,-2.244502599283718e-17
Stim C3,16,HbO,1.6380054339507989e-19
Stim C3,16,HbR,-6.552021735803196e-20
Stim C3,17,HbO,9.392058080588728e-20
Stim C3,17,HbR,-3.7568232322354916e-20
Stim C3,18,HbO,7.23652208708867e-18
Stim C3,18,HbR,-2.894608834835468e-18
Stim C3,19,HbO,3.6390079883837385e-20
Stim C3,19,HbR,-1.4556031953534954e-20
Stim C3,20,HbO,1.0180886968144555e-18
Stim C3,20,HbR,-4.072354787257822e-19
Stim C3,21,HbO,1.424940799621815e-19
Stim C3,21,HbR,-5.69976319848726e-20
Stim C3,22,HbO,2.1993040599370354e-20
Stim C3,22,HbR,-8.797216239748143e-21
Stim C3,23,HbO,4.315216937552048e-20
Stim C3,23,HbR,-1.7260867750208188e-20
Stim C3,24,HbO,2.8436194080934954e-16
Stim C3,24,HbR,-1.137447763237398e-16
Stim C3,25,HbO,1.4810602071456006e-17
Stim C3,25,HbR,-5.924240828582403e-18
Stim C3,26,HbO,2.467853814388376e-18
Stim C3,26,HbR,-9.871415257553503e-19
Stim C3,27,HbO,4.543689519205249e-19
Stim C3,27,HbR,-1.8174758076820997e-19
Stim C3,28,HbO,6.825517795008368e-17
Stim C3,28,HbR,-2.7302071180033475e-17
Stim C3,29,HbO,1.2642978050019386e-19
Stim C3,29,HbR,-5.0571912200077555e-20
Stim C3,30,HbO,1.585401188193447e-20
Stim C3,30,HbR,-6.341604752773788e-21
Stim C3,31,HbO,1.8866206841383593e-15
Stim C3,31,HbR,-7.546482736553438e-16
Stim C3,32,HbO,2.9969351014133483e-15
Stim C3,32,HbR,-1.1987740405653394e-15
Stim C3,33,HbO,7.844378505256107e-17
Stim C3,33,HbR,-3.137751402102444e-17
Stim C3,34,HbO,8.655008567384898e-18
Stim C3,34,HbR,-3.4620034269539592e-18
Stim C3,35,HbO,4.038981699977598e-17
Stim C3,35,HbR,-1.6155926799910392e-17
Stim C3,36,HbO,7.11184617008455e-20
Stim C3,36,HbR,-2.84473846803382e-20
Stim C3,37,HbO,9.394487867703555e-19
Stim C3,37,HbR,-3.7577951470814224e-19
Stim C3,38,HbO,5.794875901178563e-21
Stim C3,38,HbR,-2.317950360471426e-21
Stim C3,39,HbO,1.3059911339776522e-15
Stim C3,39,HbR,-5.223964535910608e-16
Stim C3,40,HbO,1.4887332652149894e-14
Stim C3,40,HbR,-5.954933060859959e-15
Stim C3,41,HbO,4.948498832532042e-15
Stim C3,41,HbR,-1.979399533012817e-15
Stim C3,42,HbO,1.8372895696834576e-16
Stim C3,42,HbR,-7.349158278733829e-17
Stim C3,43,HbO,4.2232650245356944e-15
Stim C3,43,HbR,-1.6893060098142782e-15
Stim C3,44,HbO,1.7162794168936173e-19
Stim C3,44,HbR,-6.865117667574471e-20
Stim C3,45,HbO,2.8305599894818885e-20
Stim C3,45,HbR,-1.1322239957927556e-20
Stim C3,46,HbO,4.587808849320215e-18
Stim C3,46,HbR,-1.8351235397280864e-18
Stim C3,47,HbO,5.756123712116229e-21
Stim C3,47,HbR,-2.302449484846492e-21
Stim C3,48,HbO,2.0623472587539005e-21
Stim C3,48,HbR,-8.249389035015602e-22
Stim C3,49,HbO,1.1482065933251466e-19
Stim C3,49,HbR,-4.592826373300587e-20
Stim C3,50,HbO,1.6092611648487191e-21
Stim C3,50,HbR,-6.437044659394877e-22
Stim C3,51,HbO,1.6882471170082588e-21
Stim C3,51,HbR,-6.7529884680330365e-22
Stim C3,52,HbO,6.894526261688102e-21
Stim C3,52,HbR,-2.757810504675241e-21
Stim C3,53,HbO,7.659642987109099e-16
Stim C3,53,HbR,-3.063857194843639e-16
Stim C3,54,HbO,2.1132500664649945e-15
Stim C3,54,HbR,-8.453000265859978e-16
Stim C3,55,HbO,8.175485559107522e-17
Stim C3,55,HbR,-3.270194223643008e-17
Stim C3,56,HbO,5.233948901237865e-15
Stim C3,56,HbR,-2.0935795604951464e-15
Stim C3,57,HbO,7.464775660137348e-15
Stim C3,57,HbR,-2.9859102640549395e-15
Stim C3,58,HbO,1.1540819287875364e-14
Stim C3,58,HbR,-4.6163277151501465e-15
Stim C3,59,HbO,4.098789744701024e-18
Stim C3,59,HbR,-1.6395158978804096e-18
Stim C3,60,HbO,3.2158985386689217e-19
Stim C3,60,HbR,-1.2863594154675684e-19
Stim C3,61,HbO,1.768433104199976e-18
Stim C3,61,HbR,-7.073732416799903e-19
Stim C3,62,HbO,1.9333563323686735e-21
Stim C3,62,HbR,-7.733425329474694e-22
Stim C3,63,HbO,5.36521533479282e-19
Stim C3,63,HbR,-2.1460861339171283e-19
Stim C3,64,HbO,8.217249186325255e-22
Stim C3,64,HbR,-3.2868996745301026e-22
Stim C3,65,HbO,1.055291639460936e-21
Stim C3,65,HbR,-4.2211665578437444e-22
Stim C3,66,HbO,1.4417933778606523e-20
Stim C3,66,HbR,-5.767173511442611e-21
Stim C3,67,HbO,9.835146932979796e-15
Stim C3,67,HbR,-3.934058773191919e-15
Stim C3,68,HbO,2.04443368058268e-14
Stim C3,68,HbR,-8.17773472233072e-15
Stim C3,69,HbO,6.9944266449723064e-15
