
                            < M A T L A B (R) >
                  Copyright 1984-2019 The MathWorks, Inc.
              R2019b Update 2 (9.7.0.1247435) 64-bit (glnxa64)
                              November 7, 2019

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
 alpha   beta | errC3   corrC3  leakC3 | errC4   corrC4  leakC4
 0.003      1 |   115.9   0.072   1.33 |    47.7   0.272   1.43
 0.003    0.1 |   115.9   0.178   1.38 |    15.4   0.356   1.28
 0.003   0.03 |     3.7   0.240   1.25 |    15.4   0.387   0.91
 0.003   0.01 |     6.7   0.269   0.93 |    19.0   0.404   0.98
 0.003  0.003 |   107.8   0.275   0.92 |    90.1   0.409   0.91
  0.01      1 |   115.9   0.038   1.40 |    51.4   0.210   1.28
  0.01    0.1 |   115.9   0.102   1.15 |     4.5   0.305   1.34
  0.01   0.03 |   117.9   0.159   1.39 |    13.3   0.345   1.09
  0.01   0.01 |   106.6   0.196   1.07 |    13.3   0.362   0.95
  0.01  0.003 |   107.8   0.218   0.94 |    90.1   0.371   0.93
  0.05      1 |   115.9   0.016   1.66 |    51.4   0.151   1.56
  0.05    0.1 |   115.9   0.040   1.11 |    51.4   0.219   1.12
  0.05   0.03 |   117.9   0.068   1.23 |    19.9   0.258   1.05
  0.05   0.01 |   106.6   0.096   1.12 |     6.8   0.275   1.02
  0.05  0.003 |   107.8   0.124   0.90 |    90.1   0.288   0.88
